Z,N,Mass Excess [MeV],Error,Estimated
17,21,-29.798103,0.000098,0
17,22,-29.800205,0.001732,0
17,23,-27.557813,0.032066,0
17,24,-27.307189,0.068723,0
17,25,-24.831767,0.059616,0
17,26,-24.159508,0.061858,0
17,27,-20.384523,0.136321,0
17,28,-18.262543,0.136163,0
17,29,-13.859398,0.208661,0
17,30,-9.78,0.4,1
17,31,-4.28,0.5,1
17,32,0.94,0.6,1
17,33,7.74,0.6,1
17,34,14.29,0.7,1
18,12,20.931147,0.206155,0
18,13,11.325,0.2,1
18,14,-2.200351,0.00177,0
18,15,-9.384292,0.000401,0
18,16,-18.37829,0.000078,0
18,17,-23.047284,0.00068,0
18,18,-30.23154,0.000027,0
18,19,-30.947664,0.000207,0
18,20,-34.714821,0.000195,0
18,21,-33.24219,0.005,0
18,22,-35.03989464,0.0000022,0
18,23,-33.067505,0.000347,0
18,24,-34.422675,0.005775,0
18,25,-32.009808,0.00531,0
18,26,-32.673255,0.001584,0
18,27,-29.770796,0.000512,0
18,28,-29.772926,0.001118,0
18,29,-25.366338,0.001118,0
18,30,-22.281337,0.307393,0
18,31,-17.19,0.4,1
18,32,-13.33,0.5,1
18,33,-6.69,0.6,1
18,34,-1.28,0.6,1
18,35,6.791,0.699,1
19,13,21.098,0.401,1
19,14,7.042,0.196,1
19,15,-1.22,0.196,1
19,16,-11.172891,0.000512,0
19,17,-17.417065,0.000341,0
19,18,-24.800199,0.000094,0
19,19,-28.800755,0.000195,0
19,20,-33.8071901,0.0000045,0
19,21,-33.535492,0.000056,0
19,22,-35.55954331,0.0000038,0
19,23,-35.022026,0.000106,0
19,24,-36.575389,0.00041,0
19,25,-35.781492,0.000419,0
19,26,-36.615638,0.000522,0
19,27,-35.413924,0.000727,0
19,28,-35.711976,0.001397,0
19,29,-32.284477,0.000773,0
19,30,-29.61149,0.000801,0
19,31,-25.727848,0.007731,0
19,32,-22.516196,0.013047,0
19,33,-17.137627,0.033534,0
19,34,-12.295721,0.111779,0
19,35,-5.002,0.596,1
19,36,0.708,0.699,1
19,37,7.927,0.801,1
20,14,13.851,0.298,1
20,15,4.788,0.196,1
20,16,-6.451149,0.04,0
20,17,-13.136066,0.000634,0
20,18,-22.058499,0.000194,0
20,19,-27.282702,0.000596,0
20,20,-34.846384,0.000021,0
20,21,-35.13789,0.000138,0
20,22,-38.547245,0.000149,0
20,23,-38.408822,0.000228,0
20,24,-41.468675,0.000325,0
20,25,-40.812174,0.000366,0
20,26,-43.139361,0.002235,0
20,27,-42.344418,0.002222,0
20,28,-44.224629,0.000096,0
20,29,-41.299765,0.000201,0
20,30,-39.589224,0.001584,0
20,31,-36.332304,0.000522,0
20,32,-34.266266,0.000671,0
20,33,-29.387704,0.04378,0
20,34,-25.160585,0.048438,0
20,35,-18.35,0.3,1
20,36,-13.898,0.4,1
20,37,-6.874,0.4,1
20,38,-1.919,0.5,1
21,15,15.351,0.298,1
21,16,3.52,0.3,1
21,17,-4.249,0.2,1
21,18,-14.172709,0.024,0
21,19,-20.523335,0.002828,0
21,20,-28.642412,0.000083,0
21,21,-32.121153,0.000169,0
21,22,-36.188102,0.001863,0
21,23,-37.815985,0.001756,0
21,24,-41.071896,0.000675,0
21,25,-41.761219,0.000683,0
21,26,-44.336595,0.001933,0
21,27,-44.503842,0.004951,0
21,28,-46.561265,0.002698,0
21,29,-44.547382,0.015,0
21,30,-43.228684,0.02,0
21,31,-40.443279,0.081852,0
21,32,-38.906808,0.094087,0
21,33,-33.8909,0.2728,0
21,34,-30.159352,0.454342,0
21,35,-24.85226,0.586841,0
21,36,-20.995875,1.304092,0
21,37,-14.876,0.4,1
21,38,-10.302,0.4,1
21,39,-4.052,0.5,1
21,40,0.931,0.6,1
22,16,10.87,0.3,1
22,17,2.2,0.2,1
22,18,-8.850384,0.16,0
22,19,-15.697537,0.027945,0
