N,Z,D to use,,,,,,,,,,,,,,,,,,,
15,13,-16850.4,,,,,,,,,,,,,,,,,,,
14,14,-21492.8,,,,,,,,,,,,,,,,,,,
13,15,-7158.75,,,,,,,,,,,,,,,,,,,
12,16,4073.203,,,,,,,,,,,,,,,,,,,
11,17,26557.01,,,,,,,,,,,,,,,,,,,
20,9,40296.01,,,,,,,,,,,,,,,,,,,
19,10,18057.88,,,,,,,,,,,,,,,,,,,
18,11,2665.004,,,,,,,,,,,,,,,,,,,
17,12,-10619,,,,,,,,,,,,,,,,,,,
16,13,-18215.3,,,,,,,,,,,,,,,,,,,
15,14,-21895,,,,,,,,,,,,,,,,,,,
14,15,-16952.6,,,,,,,,,,,,,,,,,,,
13,16,-3159.58,,,,,,,,,,,,,,,,,,,
12,17,13143.01,,,,,,,,,,,,,,,,,,,
21,9,48903.01,,,,,,,,,,,,,,,,,,,
20,10,23102.03,,,,,,,,,,,,,,,,,,,
19,11,8361.09,,,,,,,,,,,,,,,,,,,
18,12,-8910.67,,,,,,,,,,,,,,,,,,,
17,13,-15872.4,,,,,,,,,,,,,,,,,,,
16,14,-24432.9,,,,,,,,,,,,,,,,,,,
15,15,-20200.6,,,,,,,,,,,,,,,,,,,
14,16,-14062.5,,,,,,,,,,,,,,,,,,,
13,17,4443.01,,,,,,,,,,,,,,,,,,,
12,18,20083.01,,,,,,,,,,,,,,,,,,,
22,9,56289.01,,,,,,,,,,,,,,,,,,,
21,10,30842.01,,,,,,,,,,,,,,,,,,,
20,11,12654.77,,,,,,,,,,,,,,,,,,,
19,12,-3217.38,,,,,,,,,,,,,,,,,,,
18,13,-14953.6,,,,,,,,,,,,,,,,,,,
17,14,-22949,,,,,,,,,,,,,,,,,,,
16,15,-24440.9,,,,,,,,,,,,,,,,,,,
15,16,-19044.6,,,,,,,,,,,,,,,,,,,
14,17,-7067.17,,,,,,,,,,,,,,,,,,,
13,18,11293.01,,,,,,,,,,,,,,,,,,,
22,10,37278.01,,,,,,,,,,,,,,,,,,,
21,11,19064.48,,,,,,,,,,,,,,,,,,,
20,12,-954.781,,,,,,,,,,,,,,,,,,,
19,13,-11062,,,,,,,,,,,,,,,,,,,
18,14,-24080.9,,,,,,,,,,,,,,,,,,,
17,15,-24305.2,,,,,,,,,,,,,,,,,,,
16,16,-26015.7,,,,,,,,,,,,,,,,,,,
15,17,-13329.8,,,,,,,,,,,,,,,,,,,
14,18,-2200.2,,,,,,,,,,,,,,,,,,,
13,19,20418.01,,,,,,,,,,,,,,,,,,,
23,10,45997.01,,,,,,,,,,,,,,,,,,,
22,11,24889.29,,,,,,,,,,,,,,,,,,,
21,12,4894.07,,,,,,,,,,,,,,,,,,,
20,13,-8529.38,,,,,,,,,,,,,,,,,,,
19,14,-20492.7,,,,,,,,,,,,,,,,,,,
18,15,-26337.5,,,,,,,,,,,,,,,,,,,
17,16,-26586,,,,,,,,,,,,,,,,,,,
16,17,-21003.4,,,,,,,,,,,,,,,,,,,
15,18,-9384.14,,,,,,,,,,,,,,,,,,,
14,19,6763.01,,,,,,,,,,,,,,,,,,,
24,10,53121.01,,,,,,,,,,,,,,,,,,,
23,11,32761.01,,,,,,,,,,,,,,,,,,,
22,12,8808.603,,,,,,,,,,,,,,,,,,,
21,13,-2932.5,,,,,,,,,,,,,,,,,,,
20,14,-19956.8,,,,,,,,,,,,,,,,,,,
19,15,-24557.7,,,,,,,,,,,,,,,,,,,
18,16,-29931.8,,,,,,,,,,,,,,,,,,,
17,17,-24439.8,,,,,,,,,,,,,,,,,,,
16,18,-18377.2,,,,,,,,,,,,,,,,,,,
15,19,-1481.01,,,,,,,,,,,,,,,,,,,
14,20,13153.01,,,,,,,,,,,,,,,,,,,
24,11,39582.01,,,,,,,,,,,,,,,,,,,
23,12,16152.01,,,,,,,,,,,,,,,,,,,
22,13,-130.19,,,,,,,,,,,,,,,,,,,
21,14,-14360.3,,,,,,,,,,,,,,,,,,,
20,15,-24857.7,,,,,,,,,,,,,,,,,,,
19,16,-28846.4,,,,,,,,,,,,,,,,,,,
18,17,-29013.5,,,,,,,,,,,,,,,,,,,
17,18,-23047.4,,,,,,,,,,,,,,,,,,,
16,19,-11168.9,,,,,,,,,,,,,,,,,,,
15,20,4602.01,,,,,,,,,,,,,,,,,,,
25,11,47953.01,,,,,,,,,,,,,,,,,,,
24,12,21424.01,,,,,,,,,,,,,,,,,,,
23,13,5781.974,,,,,,,,,,,,,,,,,,,
22,14,-12482.5,,,,,,,,,,,,,,,,,,,
21,15,-20251,,,,,,,,,,,,,,,,,,,
20,16,-30664.1,,,,,,,,,,,,,,,,,,,
19,17,-29521.9,,,,,,,,,,,,,,,,,,,
18,18,-30231.5,,,,,,,,,,,,,,,,,,,
17,19,-17426.2,,,,,,,,,,,,,,,,,,,
16,20,-6439.36,,,,,,,,,,,,,,,,,,,
15,21,13898.01,,,,,,,,,,,,,,,,,,,
26,11,55275.01,,,,,,,,,,,,,,,,,,,
25,12,29249.01,,,,,,,,,,,,,,,,,,,
24,13,9946.326,,,,,,,,,,,,,,,,,,,
23,14,-6580,,,,,,,,,,,,,,,,,,,
22,15,-18994.1,,,,,,,,,,,,,,,,,,,
