N,Z,D to use,,,,,,,,,,,,,,,,,,,
53,43,-85817.3,,,,,,,,,,,,,,,,,,,
52,44,-86072.1,,,,,,,,,,,,,,,,,,,
51,45,-79679.4,,,,,,,,,,,,,,,,,,,
50,46,-76229.4,,,,,,,,,,,,,,,,,,,
49,47,-64571,,,,,,,,,,,,,,,,,,,
48,48,-56104,,,,,,,,,,,,,,,,,,,
62,35,-34652,,,,,,,,,,,,,,,,,,,
61,36,-47916,,,,,,,,,,,,,,,,,,,
60,37,-58356.3,,,,,,,,,,,,,,,,,,,
59,38,-68788.1,,,,,,,,,,,,,,,,,,,
58,39,-76257.7,,,,,,,,,,,,,,,,,,,
57,40,-82946.6,,,,,,,,,,,,,,,,,,,
56,41,-85605.6,,,,,,,,,,,,,,,,,,,
55,42,-87540.4,,,,,,,,,,,,,,,,,,,
54,43,-87220.1,,,,,,,,,,,,,,,,,,,
53,44,-86112.2,,,,,,,,,,,,,,,,,,,
52,45,-82589.2,,,,,,,,,,,,,,,,,,,
51,46,-77799.2,,,,,,,,,,,,,,,,,,,
50,47,-70819.2,,,,,,,,,,,,,,,,,,,
49,48,-60603,,,,,,,,,,,,,,,,,,,
48,49,-47003,,,,,,,,,,,,,,,,,,,
62,36,-44796,,,,,,,,,,,,,,,,,,,
61,37,-54221.6,,,,,,,,,,,,,,,,,,,
60,38,-66645.7,,,,,,,,,,,,,,,,,,,
59,39,-72467.4,,,,,,,,,,,,,,,,,,,
58,40,-81286.9,,,,,,,,,,,,,,,,,,,
57,41,-83528.5,,,,,,,,,,,,,,,,,,,
56,42,-88111.7,,,,,,,,,,,,,,,,,,,
55,43,-86427.8,,,,,,,,,,,,,,,,,,,
54,44,-88224.5,,,,,,,,,,,,,,,,,,,
53,45,-83174.8,,,,,,,,,,,,,,,,,,,
52,46,-81300,,,,,,,,,,,,,,,,,,,
51,47,-73060.6,,,,,,,,,,,,,,,,,,,
50,48,-67630.6,,,,,,,,,,,,,,,,,,,
49,49,-53896,,,,,,,,,,,,,,,,,,,
63,36,-39495,,,,,,,,,,,,,,,,,,,
62,37,-50878.9,,,,,,,,,,,,,,,,,,,
61,38,-62185.7,,,,,,,,,,,,,,,,,,,
60,39,-70200.9,,,,,,,,,,,,,,,,,,,
59,40,-77768.5,,,,,,,,,,,,,,,,,,,
58,41,-82327,,,,,,,,,,,,,,,,,,,
57,42,-85965.8,,,,,,,,,,,,,,,,,,,
56,43,-87323.1,,,,,,,,,,,,,,,,,,,
55,44,-87617,,,,,,,,,,,,,,,,,,,
54,45,-85574.4,,,,,,,,,,,,,,,,,,,
53,46,-82187.7,,,,,,,,,,,,,,,,,,,
52,47,-76757.7,,,,,,,,,,,,,,,,,,,
51,48,-69853,,,,,,,,,,,,,,,,,,,
50,49,-61274,,,,,,,,,,,,,,,,,,,
49,50,-47199,,,,,,,,,,,,,,,,,,,
64,36,-36198,,,,,,,,,,,,,,,,,,,
63,37,-46696,,,,,,,,,,,,,,,,,,,
62,38,-60219.3,,,,,,,,,,,,,,,,,,,
61,39,-67294.3,,,,,,,,,,,,,,,,,,,
60,40,-76604.3,,,,,,,,,,,,,,,,,,,
59,41,-79939.3,,,,,,,,,,,,,,,,,,,
58,42,-86184.3,,,,,,,,,,,,,,,,,,,
57,43,-86016.2,,,,,,,,,,,,,,,,,,,
56,44,-89219,,,,,,,,,,,,,,,,,,,
55,45,-85584.2,,,,,,,,,,,,,,,,,,,
54,46,-85226.2,,,,,,,,,,,,,,,,,,,
53,47,-78148.4,,,,,,,,,,,,,,,,,,,
52,48,-74249.8,,,,,,,,,,,,,,,,,,,
51,49,-64169.8,,,,,,,,,,,,,,,,,,,
50,50,-56779.8,,,,,,,,,,,,,,,,,,,
64,37,-43597.2,,,,,,,,,,,,,,,,,,,
63,38,-55407.2,,,,,,,,,,,,,,,,,,,
62,39,-64912.2,,,,,,,,,,,,,,,,,,,
61,40,-73457.2,,,,,,,,,,,,,,,,,,,
60,41,-78942.2,,,,,,,,,,,,,,,,,,,
59,42,-83511.2,,,,,,,,,,,,,,,,,,,
58,43,-86335.8,,,,,,,,,,,,,,,,,,,
57,44,-87949.7,,,,,,,,,,,,,,,,,,,
56,45,-87408,,,,,,,,,,,,,,,,,,,
55,46,-85428,,,,,,,,,,,,,,,,,,,
54,47,-81224.2,,,,,,,,,,,,,,,,,,,
53,48,-75747.7,,,,,,,,,,,,,,,,,,,
52,49,-68614,,,,,,,,,,,,,,,,,,,
51,50,-59560,,,,,,,,,,,,,,,,,,,
65,37,-38312,,,,,,,,,,,,,,,,,,,
64,38,-53077.5,,,,,,,,,,,,,,,,,,,
63,39,-61892.5,,,,,,,,,,,,,,,,,,,
62,40,-71742.5,,,,,,,,,,,,,,,,,,,
61,41,-76347.5,,,,,,,,,,,,,,,,,,,
60,42,-83557.5,,,,,,,,,,,,,,,,,,,
59,43,-84565.7,,,,,,,,,,,,,,,,,,,
58,44,-89098,,,,,,,,,,,,,,,,,,,
57,45,-86775,,,,,,,,,,,,,,,,,,,
56,46,-87925.1,,,,,,,,,,,,,,,,,,,
55,47,-82264.9,,,,,,,,,,,,,,,,,,,
54,48,-79677.9,,,,,,,,,,,,,,,,,,,
53,49,-70709.5,,,,,,,,,,,,,,,,,,,
52,50,-64929.5,,,,,,,,,,,,,,,,,,,
65,38,-47553,,,,,,,,,,,,,,,,,,,
64,39,-58936,,,,,,,,,,,,,,,,,,,
63,40,-68372,,,,,,,,,,,,,,,,,,,
62,41,-75317,,,,,,,,,,,,,,,,,,,
61,42,-80847,,,,,,,,,,,,,,,,,,,
60,43,-84597,,,,,,,,,,,,,,,,,,,
59,44,-87258.8,,,,,,,,,,,,,,,,,,,
58,45,-88022.2,,,,,,,,,,,,,,,,,,,
57,46,-87479.1,,,,,,,,,,,,,,,,,,,
56,47,-84791.4,,,,,,,,,,,,,,,,,,,
55,48,-80649.5,,,,,,,,,,,,,,,,,,,
54,49,-74599.5,,,,,,,,,,,,,,,,,,,
53,50,-66974,,,,,,,,,,,,,,,,,,,
52,51,-56178,,,,,,,,,,,,,,,,,,,
66,38,-44404,,,,,,,,,,,,,,,,,,,
65,39,-54912,,,,,,,,,,,,,,,,,,,
64,40,-66341,,,,,,,,,,,,,,,,,,,
63,41,-72223.7,,,,,,,,,,,,,,,,,,,
62,42,-80328.7,,,,,,,,,,,,,,,,,,,
61,43,-82486.2,,,,,,,,,,,,,,,,,,,
60,44,-88088.9,,,,,,,,,,,,,,,,,,,
59,45,-86949.8,,,,,,,,,,,,,,,,,,,
58,46,-89390,,,,,,,,,,,,,,,,,,,
57,47,-85111.4,,,,,,,,,,,,,,,,,,,
56,48,-83974.7,,,,,,,,,,,,,,,,,,,
55,49,-76106.6,,,,,,,,,,,,,,,,,,,
54,50,-71591.6,,,,,,,,,,,,,,,,,,,
53,51,-59176,,,,,,,,,,,,,,,,,,,
67,38,-38582,,,,,,,,,,,,,,,,,,,
66,39,-51353,,,,,,,,,,,,,,,,,,,
65,40,-62364,,,,,,,,,,,,,,,,,,,
64,41,-70852.7,,,,,,,,,,,,,,,,,,,
63,42,-77337.7,,,,,,,,,,,,,,,,,,,
62,43,-82287.7,,,,,,,,,,,,,,,,,,,
61,44,-85927.7,,,,,,,,,,,,,,,,,,,
60,45,-87845.6,,,,,,,,,,,,,,,,,,,
59,46,-88412.8,,,,,,,,,,,,,,,,,,,
58,47,-87068,,,,,,,,,,,,,,,,,,,
57,48,-84330.1,,,,,,,,,,,,,,,,,,,
56,49,-79481.1,,,,,,,,,,,,,,,,,,,
55,50,-73262.5,,,,,,,,,,,,,,,,,,,
54,51,-63820.1,,,,,,,,,,,,,,,,,,,
53,52,-52499,,,,,,,,,,,,,,,,,,,
67,39,-46770,,,,,,,,,,,,,,,,,,,
66,40,-59699,,,,,,,,,,,,,,,,,,,
65,41,-67096,,,,,,,,,,,,,,,,,,,
64,42,-76255.1,,,,,,,,,,,,,,,,,,,
63,43,-79775.1,,,,,,,,,,,,,,,,,,,
62,44,-86322.1,,,,,,,,,,,,,,,,,,,
61,45,-86361.5,,,,,,,,,,,,,,,,,,,
60,46,-89902.5,,,,,,,,,,,,,,,,,,,
59,47,-86937.3,,,,,,,,,,,,,,,,,,,
58,48,-87132.5,,,,,,,,,,,,,,,,,,,
57,49,-80606.5,,,,,,,,,,,,,,,,,,,
56,50,-77425.2,,,,,,,,,,,,,,,,,,,
55,51,-66330,,,,,,,,,,,,,,,,,,,
54,52,-58214.4,,,,,,,,,,,,,,,,,,,
68,39,-42718,,,,,,,,,,,,,,,,,,,
67,40,-55191,,,,,,,,,,,,,,,,,,,
66,41,-64916,,,,,,,,,,,,,,,,,,,
65,42,-72942.9,,,,,,,,,,,,,,,,,,,
64,43,-79102.9,,,,,,,,,,,,,,,,,,,
63,44,-83922.9,,,,,,,,,,,,,,,,,,,
62,45,-86863.3,,,,,,,,,,,,,,,,,,,
61,46,-88367.6,,,,,,,,,,,,,,,,,,,
60,47,-88401.7,,,,,,,,,,,,,,,,,,,
59,48,-86984.8,,,,,,,,,,,,,,,,,,,
58,49,-83559.6,,,,,,,,,,,,,,,,,,,
57,50,-78576.8,,,,,,,,,,,,,,,,,,,
56,51,-70654,,,,,,,,,,,,,,,,,,,
55,52,-60541,,,,,,,,,,,,,,,,,,,
69,39,-37744,,,,,,,,,,,,,,,,,,,
68,40,-52201,,,,,,,,,,,,,,,,,,,
67,41,-60696,,,,,,,,,,,,,,,,,,,
66,42,-71303,,,,,,,,,,,,,,,,,,,
65,43,-75952.9,,,,,,,,,,,,,,,,,,,
64,44,-83672.9,,,,,,,,,,,,,,,,,,,
63,45,-85019.3,,,,,,,,,,,,,,,,,,,
62,46,-89524.3,,,,,,,,,,,,,,,,,,,
61,47,-87601.8,,,,,,,,,,,,,,,,,,,
60,48,-89252.3,,,,,,,,,,,,,,,,,,,
59,49,-84115.6,,,,,,,,,,,,,,,,,,,
58,50,-82041,,,,,,,,,,,,,,,,,,,
57,51,-72507,,,,,,,,,,,,,,,,,,,
56,52,-65721.9,,,,,,,,,,,,,,,,,,,
55,53,-52652,,,,,,,,,,,,,,,,,,,
69,40,-47283,,,,,,,,,,,,,,,,,,,
68,41,-58097,,,,,,,,,,,,,,,,,,,
67,42,-67245,,,,,,,,,,,,,,,,,,,
66,43,-74535.7,,,,,,,,,,,,,,,,,,,
65,44,-80850.7,,,,,,,,,,,,,,,,,,,
64,45,-85010.7,,,,,,,,,,,,,,,,,,,
63,46,-87606.6,,,,,,,,,,,,,,,,,,,
62,47,-88722.7,,,,,,,,,,,,,,,,,,,
61,48,-88508.4,,,,,,,,,,,,,,,,,,,
60,49,-86488.7,,,,,,,,,,,,,,,,,,,
59,50,-82639.2,,,,,,,,,,,,,,,,,,,
58,51,-76259.2,,,,,,,,,,,,,,,,,,,
57,52,-67612,,,,,,,,,,,,,,,,,,,
56,53,-57613.4,,,,,,,,,,,,,,,,,,,
70,40,-43901,,,,,,,,,,,,,,,,,,,
69,41,-53617,,,,,,,,,,,,,,,,,,,
68,42,-65456,,,,,,,,,,,,,,,,,,,
67,43,-70960.8,,,,,,,,,,,,,,,,,,,
66,44,-79981.8,,,,,,,,,,,,,,,,,,,
65,45,-82775.9,,,,,,,,,,,,,,,,,,,
64,46,-88349.2,,,,,,,,,,,,,,,,,,,
63,47,-87460.6,,,,,,,,,,,,,,,,,,,
62,48,-90353,,,,,,,,,,,,,,,,,,,
61,49,-86475,,,,,,,,,,,,,,,,,,,
60,50,-85843.9,,,,,,,,,,,,,,,,,,,
59,51,-77544,,,,,,,,,,,,,,,,,,,
58,52,-72277.1,,,,,,,,,,,,,,,,,,,
57,53,-60321,,,,,,,,,,,,,,,,,,,
56,54,-51904.6,,,,,,,,,,,,,,,,,,,
70,41,-50627,,,,,,,,,,,,,,,,,,,
69,42,-61097,,,,,,,,,,,,,,,,,,,
68,43,-69216.7,,,,,,,,,,,,,,,,,,,
67,44,-76665.7,,,,,,,,,,,,,,,,,,,
66,45,-82357.2,,,,,,,,,,,,,,,,,,,
65,46,-86004.2,,,,,,,,,,,,,,,,,,,
64,47,-88220.7,,,,,,,,,,,,,,,,,,,
63,48,-89257.5,,,,,,,,,,,,,,,,,,,
62,49,-88395.7,,,,,,,,,,,,,,,,,,,
61,50,-85944.8,,,,,,,,,,,,,,,,,,,
60,51,-80888.1,,,,,,,,,,,,,,,,,,,
59,52,-73484.9,,,,,,,,,,,,,,,,,,,
58,53,-64947,,,,,,,,,,,,,,,,,,,
57,54,-54397,,,,,,,,,,,,,,,,,,,
71,41,-45802,,,,,,,,,,,,,,,,,,,
70,42,-58833,,,,,,,,,,,,,,,,,,,
69,43,-65999.6,,,,,,,,,,,,,,,,,,,
68,44,-75483.6,,,,,,,,,,,,,,,,,,,
67,45,-79741.3,,,,,,,,,,,,,,,,,,,
66,46,-86336.4,,,,,,,,,,,,,,,,,,,
65,47,-86624.5,,,,,,,,,,,,,,,,,,,
64,48,-90580.5,,,,,,,,,,,,,,,,,,,
63,49,-87996.1,,,,,,,,,,,,,,,,,,,
62,50,-88661.3,,,,,,,,,,,,,,,,,,,
61,51,-81600.7,,,,,,,,,,,,,,,,,,,
60,52,-77301.3,,,,,,,,,,,,,,,,,,,
59,53,-67096,,,,,,,,,,,,,,,,,,,
58,54,-59966.7,,,,,,,,,,,,,,,,,,,
57,55,-46294,,,,,,,,,,,,,,,,,,,
72,41,-42197,,,,,,,,,,,,,,,,,,,
71,42,-54138,,,,,,,,,,,,,,,,,,,
70,43,-63724,,,,,,,,,,,,,,,,,,,
69,44,-72202.7,,,,,,,,,,,,,,,,,,,
68,45,-78682.7,,,,,,,,,,,,,,,,,,,
67,46,-83692,,,,,,,,,,,,,,,,,,,
66,47,-87032.7,,,,,,,,,,,,,,,,,,,
65,48,-89049.3,,,,,,,,,,,,,,,,,,,
64,49,-89369.6,,,,,,,,,,,,,,,,,,,
63,50,-88333,,,,,,,,,,,,,,,,,,,
62,51,-84419.7,,,,,,,,,,,,,,,,,,,
61,52,-78347,,,,,,,,,,,,,,,,,,,
60,53,-71128.3,,,,,,,,,,,,,,,,,,,
59,54,-62092.3,,,,,,,,,,,,,,,,,,,
58,55,-51704.2,,,,,,,,,,,,,,,,,,,
72,42,-51307,,,,,,,,,,,,,,,,,,,
71,43,-59727,,,,,,,,,,,,,,,,,,,
70,44,-70532,,,,,,,,,,,,,,,,,,,
69,45,-75631.7,,,,,,,,,,,,,,,,,,,
68,46,-83496.7,,,,,,,,,,,,,,,,,,,
67,47,-84948.8,,,,,,,,,,,,,,,,,,,
66,48,-90020.9,,,,,,,,,,,,,,,,,,,
65,49,-88572.2,,,,,,,,,,,,,,,,,,,
64,50,-90560.9,,,,,,,,,,,,,,,,,,,
63,51,-84515.4,,,,,,,,,,,,,,,,,,,
62,52,-81888.6,,,,,,,,,,,,,,,,,,,
61,53,-72796,,,,,,,,,,,,,,,,,,,
60,54,-67085.9,,,,,,,,,,,,,,,,,,,
59,55,-54539,,,,,,,,,,,,,,,,,,,
58,56,-45945.6,,,,,,,,,,,,,,,,,,,
73,42,-46305,,,,,,,,,,,,,,,,,,,
72,43,-57110,,,,,,,,,,,,,,,,,,,
71,44,-66428.4,,,,,,,,,,,,,,,,,,,
70,45,-74208.4,,,,,,,,,,,,,,,,,,,
69,46,-80403,,,,,,,,,,,,,,,,,,,
68,47,-84987,,,,,,,,,,,,,,,,,,,
67,48,-88090.5,,,,,,,,,,,,,,,,,,,
66,49,-89536.6,,,,,,,,,,,,,,,,,,,
65,50,-90036,,,,,,,,,,,,,,,,,,,
64,51,-87003.4,,,,,,,,,,,,,,,,,,,
63,52,-82062.8,,,,,,,,,,,,,,,,,,,
62,53,-76337.8,,,,,,,,,,,,,,,,,,,
61,54,-68656.8,,,,,,,,,,,,,,,,,,,
60,55,-59699,,,,,,,,,,,,,,,,,,,
59,56,-49025,,,,,,,,,,,,,,,,,,,
73,43,-52751,,,,,,,,,,,,,,,,,,,
72,44,-64450,,,,,,,,,,,,,,,,,,,
71,45,-70735.8,,,,,,,,,,,,,,,,,,,
70,46,-79960.7,,,,,,,,,,,,,,,,,,,
69,47,-82567.7,,,,,,,,,,,,,,,,,,,
68,48,-88719.4,,,,,,,,,,,,,,,,,,,
67,49,-88250,,,,,,,,,,,,,,,,,,,
66,50,-91528.1,,,,,,,,,,,,,,,,,,,
65,51,-86821.2,,,,,,,,,,,,,,,,,,,
64,52,-85269,,,,,,,,,,,,,,,,,,,
63,53,-77492.3,,,,,,,,,,,,,,,,,,,
62,54,-73046.7,,,,,,,,,,,,,,,,,,,
61,55,-62068,,,,,,,,,,,,,,,,,,,
60,56,-54604,,,,,,,,,,,,,,,,,,,
74,43,-49854,,,,,,,,,,,,,,,,,,,
73,44,-60007,,,,,,,,,,,,,,,,,,,
72,45,-68949,,,,,,,,,,,,,,,,,,,
71,46,-76530.3,,,,,,,,,,,,,,,,,,,
70,47,-82265.3,,,,,,,,,,,,,,,,,,,
69,48,-86425.3,,,,,,,,,,,,,,,,,,,
68,49,-88945,,,,,,,,,,,,,,,,,,,
67,50,-90400,,,,,,,,,,,,,,,,,,,
66,51,-88644.8,,,,,,,,,,,,,,,,,,,
65,52,-85096.9,,,,,,,,,,,,,,,,,,,
64,53,-80434.5,,,,,,,,,,,,,,,,,,,
63,54,-74185.4,,,,,,,,,,,,,,,,,,,
62,55,-66442.8,,,,,,,,,,,,,,,,,,,
61,56,-57288,,,,,,,,,,,,,,,,,,,
60,57,-46512,,,,,,,,,,,,,,,,,,,
75,43,-45196,,,,,,,,,,,,,,,,,,,
74,44,-57920,,,,,,,,,,,,,,,,,,,
73,45,-65139,,,,,,,,,,,,,,,,,,,
72,46,-75465.6,,,,,,,,,,,,,,,,,,,
71,47,-79565.6,,,,,,,,,,,,,,,,,,,
70,48,-86708.6,,,,,,,,,,,,,,,,,,,
69,49,-87230.3,,,,,,,,,,,,,,,,,,,
68,50,-91656.1,,,,,,,,,,,,,,,,,,,
67,51,-87999.4,,,,,,,,,,,,,,,,,,,
66,52,-87721,,,,,,,,,,,,,,,,,,,
65,53,-80971,,,,,,,,,,,,,,,,,,,
64,54,-78079.1,,,,,,,,,,,,,,,,,,,
63,55,-68409.4,,,,,,,,,,,,,,,,,,,
62,56,-62373,,,,,,,,,,,,,,,,,,,
61,57,-49621,,,,,,,,,,,,,,,,,,,
75,44,-53244,,,,,,,,,,,,,,,,,,,
74,45,-63239,,,,,,,,,,,,,,,,,,,
73,46,-71623,,,,,,,,,,,,,,,,,,,
72,47,-78557.5,,,,,,,,,,,,,,,,,,,
71,48,-83907.5,,,,,,,,,,,,,,,,,,,
70,49,-87704.5,,,,,,,,,,,,,,,,,,,
69,50,-90068.4,,,,,,,,,,,,,,,,,,,
68,51,-89477.4,,,,,,,,,,,,,,,,,,,
67,52,-87184.4,,,,,,,,,,,,,,,,,,,
66,53,-83765.5,,,,,,,,,,,,,,,,,,,
65,54,-78794.4,,,,,,,,,,,,,,,,,,,
64,55,-72305.1,,,,,,,,,,,,,,,,,,,
63,56,-64590.1,,,,,,,,,,,,,,,,,,,
62,57,-54967,,,,,,,,,,,,,,,,,,,
61,58,-44004,,,,,,,,,,,,,,,,,,,
76,44,-50943,,,,,,,,,,,,,,,,,,,
75,45,-59234,,,,,,,,,,,,,,,,,,,
74,46,-70149.1,,,,,,,,,,,,,,,,,,,
73,47,-75649.1,,,,,,,,,,,,,,,,,,,
72,48,-83974.1,,,,,,,,,,,,,,,,,,,
71,49,-85735.1,,,,,,,,,,,,,,,,,,,
70,50,-91105.1,,,,,,,,,,,,,,,,,,,
69,51,-88424.5,,,,,,,,,,,,,,,,,,,
68,52,-89404.6,,,,,,,,,,,,,,,,,,,
67,53,-83789.6,,,,,,,,,,,,,,,,,,,
66,54,-82172.4,,,,,,,,,,,,,,,,,,,
65,55,-73888.7,,,,,,,,,,,,,,,,,,,
64,56,-68888.7,,,,,,,,,,,,,,,,,,,
63,57,-57687,,,,,,,,,,,,,,,,,,,
62,58,-49705,,,,,,,,,,,,,,,,,,,
76,45,-57082,,,,,,,,,,,,,,,,,,,
75,46,-66257,,,,,,,,,,,,,,,,,,,
74,47,-74661.1,,,,,,,,,,,,,,,,,,,
73,48,-81061.1,,,,,,,,,,,,,,,,,,,
72,49,-85841.1,,,,,,,,,,,,,,,,,,,
71,50,-89204.1,,,,,,,,,,,,,,,,,,,
70,51,-89595.1,,,,,,,,,,,,,,,,,,,
69,52,-88551.2,,,,,,,,,,,,,,,,,,,
68,53,-86287.3,,,,,,,,,,,,,,,,,,,
67,54,-82472.8,,,,,,,,,,,,,,,,,,,
66,55,-77100.5,,,,,,,,,,,,,,,,,,,
65,56,-70742.8,,,,,,,,,,,,,,,,,,,
64,57,-62401,,,,,,,,,,,,,,,,,,,
63,58,-52704,,,,,,,,,,,,,,,,,,,
62,59,-41579,,,,,,,,,,,,,,,,,,,
77,45,-52900,,,,,,,,,,,,,,,,,,,
76,46,-64692,,,,,,,,,,,,,,,,,,,
75,47,-71231,,,,,,,,,,,,,,,,,,,
74,48,-80730.3,,,,,,,,,,,,,,,,,,,
73,49,-83577.4,,,,,,,,,,,,,,,,,,,
72,50,-89946,,,,,,,,,,,,,,,,,,,
71,51,-88330.2,,,,,,,,,,,,,,,,,,,
70,52,-90314,,,,,,,,,,,,,,,,,,,
69,53,-86080,,,,,,,,,,,,,,,,,,,
68,54,-85355,,,,,,,,,,,,,,,,,,,
67,55,-78139.8,,,,,,,,,,,,,,,,,,,
66,56,-74608.9,,,,,,,,,,,,,,,,,,,
65,57,-64543,,,,,,,,,,,,,,,,,,,
64,58,-57836,,,,,,,,,,,,,,,,,,,
63,59,-44889,,,,,,,,,,,,,,,,,,,
77,46,-60612,,,,,,,,,,,,,,,,,,,
76,47,-69955,,,,,,,,,,,,,,,,,,,
75,48,-77311.2,,,,,,,,,,,,,,,,,,,
74,49,-83426.2,,,,,,,,,,,,,,,,,,,
73,50,-87820.5,,,,,,,,,,,,,,,,,,,
72,51,-89224.1,,,,,,,,,,,,,,,,,,,
71,52,-89171.9,,,,,,,,,,,,,,,,,,,
70,53,-87943.3,,,,,,,,,,,,,,,,,,,
69,54,-85248.6,,,,,,,,,,,,,,,,,,,
68,55,-81043.7,,,,,,,,,,,,,,,,,,,
67,56,-75655,,,,,,,,,,,,,,,,,,,
66,57,-68707,,,,,,,,,,,,,,,,,,,
65,58,-60175,,,,,,,,,,,,,,,,,,,
64,59,-50338,,,,,,,,,,,,,,,,,,,
78,46,-58796,,,,,,,,,,,,,,,,,,,
77,47,-66471,,,,,,,,,,,,,,,,,,,
76,48,-76710.8,,,,,,,,,,,,,,,,,,,
75,49,-80876.8,,,,,,,,,,,,,,,,,,,
74,50,-88236.8,,,,,,,,,,,,,,,,,,,
73,51,-87620.3,,,,,,,,,,,,,,,,,,,
72,52,-90524.5,,,,,,,,,,,,,,,,,,,
71,53,-87365,,,,,,,,,,,,,,,,,,,
70,54,-87660.1,,,,,,,,,,,,,,,,,,,
69,55,-81731.3,,,,,,,,,,,,,,,,,,,
68,56,-79089.8,,,,,,,,,,,,,,,,,,,
67,57,-70258.6,,,,,,,,,,,,,,,,,,,
66,58,-64823,,,,,,,,,,,,,,,,,,,
65,59,-53132,,,,,,,,,,,,,,,,,,,
64,60,-44497,,,,,,,,,,,,,,,,,,,
78,47,-64804,,,,,,,,,,,,,,,,,,,
77,48,-73358.5,,,,,,,,,,,,,,,,,,,
76,49,-80480.5,,,,,,,,,,,,,,,,,,,
75,50,-85898.5,,,,,,,,,,,,,,,,,,,
74,51,-88255.5,,,,,,,,,,,,,,,,,,,
73,52,-89022.2,,,,,,,,,,,,,,,,,,,
72,53,-88836.4,,,,,,,,,,,,,,,,,,,
71,54,-87192.1,,,,,,,,,,,,,,,,,,,
70,55,-84087.6,,,,,,,,,,,,,,,,,,,
69,56,-79668,,,,,,,,,,,,,,,,,,,
68,57,-73759.4,,,,,,,,,,,,,,,,,,,
67,58,-66658,,,,,,,,,,,,,,,,,,,
66,59,-57911,,,,,,,,,,,,,,,,,,,
65,60,-47618,,,,,,,,,,,,,,,,,,,
79,47,-61013,,,,,,,,,,,,,,,,,,,
78,48,-72327.4,,,,,,,,,,,,,,,,,,,
77,49,-77813.4,,,,,,,,,,,,,,,,,,,
76,50,-86020.4,,,,,,,,,,,,,,,,,,,
75,51,-86398.4,,,,,,,,,,,,,,,,,,,
74,52,-90064.6,,,,,,,,,,,,,,,,,,,
73,53,-87910.5,,,,,,,,,,,,,,,,,,,
72,54,-89168.5,,,,,,,,,,,,,,,,,,,
71,55,-84344.9,,,,,,,,,,,,,,,,,,,
70,56,-82669.9,,,,,,,,,,,,,,,,,,,
69,57,-74973.5,,,,,,,,,,,,,,,,,,,
68,58,-70820.6,,,,,,,,,,,,,,,,,,,
67,59,-60258,,,,,,,,,,,,,,,,,,,
66,60,-52890,,,,,,,,,,,,,,,,,,,
65,61,-39570,,,,,,,,,,,,,,,,,,,
80,47,-58898,,,,,,,,,,,,,,,,,,,
79,48,-68517.1,,,,,,,,,,,,,,,,,,,
78,49,-76985.1,,,,,,,,,,,,,,,,,,,
77,50,-83499.1,,,,,,,,,,,,,,,,,,,
76,51,-86700.1,,,,,,,,,,,,,,,,,,,
75,52,-88281.1,,,,,,,,,,,,,,,,,,,
74,53,-88983.1,,,,,,,,,,,,,,,,,,,
73,54,-88320.8,,,,,,,,,,,,,,,,,,,
72,55,-86240,,,,,,,,,,,,,,,,,,,
71,56,-82815.6,,,,,,,,,,,,,,,,,,,
70,57,-77895.8,,,,,,,,,,,,,,,,,,,
69,58,-71975.6,,,,,,,,,,,,,,,,,,,
68,59,-64431,,,,,,,,,,,,,,,,,,,
67,60,-55424,,,,,,,,,,,,,,,,,,,
66,61,-45056,,,,,,,,,,,,,,,,,,,
81,47,-54800,,,,,,,,,,,,,,,,,,,
80,48,-67289,,,,,,,,,,,,,,,,,,,
79,49,-74359,,,,,,,,,,,,,,,,,,,
78,50,-83334.6,,,,,,,,,,,,,,,,,,,
77,51,-84608.5,,,,,,,,,,,,,,,,,,,
76,52,-88992.1,,,,,,,,,,,,,,,,,,,
75,53,-87737.9,,,,,,,,,,,,,,,,,,,
74,54,-89860,,,,,,,,,,,,,,,,,,,
73,55,-85931.4,,,,,,,,,,,,,,,,,,,
72,56,-85401.5,,,,,,,,,,,,,,,,,,,
71,57,-78631.9,,,,,,,,,,,,,,,,,,,
70,58,-75533.9,,,,,,,,,,,,,,,,,,,
69,59,-66330.8,,,,,,,,,,,,,,,,,,,
68,60,-60184,,,,,,,,,,,,,,,,,,,
67,61,-48046,,,,,,,,,,,,,,,,,,,
66,62,-39048,,,,,,,,,,,,,,,,,,,
82,47,-52452,,,,,,,,,,,,,,,,,,,
81,48,-63202,,,,,,,,,,,,,,,,,,,
80,49,-72938.8,,,,,,,,,,,,,,,,,,,
79,50,-80593.8,,,,,,,,,,,,,,,,,,,
78,51,-84627.7,,,,,,,,,,,,,,,,,,,
77,52,-87003.2,,,,,,,,,,,,,,,,,,,
76,53,-88503.4,,,,,,,,,,,,,,,,,,,
75,54,-88697.4,,,,,,,,,,,,,,,,,,,
74,55,-87500.4,,,,,,,,,,,,,,,,,,,
73,56,-85064.6,,,,,,,,,,,,,,,,,,,
72,57,-81326.1,,,,,,,,,,,,,,,,,,,
71,58,-76287.5,,,,,,,,,,,,,,,,,,,
70,59,-69773.6,,,,,,,,,,,,,,,,,,,
69,60,-62235,,,,,,,,,,,,,,,,,,,
68,61,-52946,,,,,,,,,,,,,,,,,,,
67,62,-42253,,,,,,,,,,,,,,,,,,,
83,47,-46157,,,,,,,,,,,,,,,,,,,
82,48,-61569.9,,,,,,,,,,,,,,,,,,,
81,49,-69889.9,,,,,,,,,,,,,,,,,,,
